,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
280,93,1,0.33104247475121484,0.6945864429420981,14.176611328725338,0.2003628354007866,0.05238133053934804,0.9627234868269405,8.763
144,48,0,0.44422272432984433,0.178587497438989,7.61436356569975,5.303053261857615,0.08336078168184796,0.3403476951266812,8.823
112,37,1,0.3094684104469968,0.6024884061523057,12.913607965727978,8.45699471421902,0.06132797839687611,0.5838248586201393,8.823
145,48,1,0.44422272432984433,0.178587497438989,7.61436356569975,5.303053261857615,0.08336078168184796,0.3403476951266812,8.824
25,8,1,0.3140800303023316,0.3068642805839569,15.91887861491275,10.377832926127482,0.034021521730238605,0.8703446960057991,8.845
24,8,0,0.3140800303023316,0.3068642805839569,15.91887861491275,10.377832926127482,0.034021521730238605,0.8703446960057991,8.845
116,38,2,0.4439565055946896,0.3265655680417065,6.139951052486932,1.546084025284306,0.06426973246066975,0.5997080391918923,8.871
149,49,2,0.4380517463626531,0.36597473200733077,8.320178552366434,2.345435488542697,0.10003812539430049,0.7928035706180704,8.913
281,93,2,0.33104247475121484,0.6945864429420981,14.176611328725338,0.2003628354007866,0.05238133053934804,0.9627234868269405,8.922
111,37,0,0.3094684104469968,0.6024884061523057,12.913607965727978,8.45699471421902,0.06132797839687611,0.5838248586201393,8.927
95,31,2,0.3663964845162132,0.3778102333933636,15.034325328894514,19.949364284591823,0.05475230566885711,0.4220007833494464,8.946
244,81,1,0.48753962744584783,0.3891763401571514,12.296748060512298,4.5821116057306845,0.08058249566898242,0.7883627282505348,8.964
245,81,2,0.48753962744584783,0.3891763401571514,12.296748060512298,4.5821116057306845,0.08058249566898242,0.7883627282505348,8.981
182,60,2,0.4360837334707214,0.44794049115375123,18.786631914389066,16.107836642845452,0.11337368722710844,0.857528461908958,8.983
18,6,0,0.34600335594810355,0.1978814324341215,11.297554956757654,18.638829566089086,0.11138808746333795,0.07251431627247752,9.021
19,6,1,0.34600335594810355,0.1978814324341215,11.297554956757654,18.638829566089086,0.11138808746333795,0.07251431627247752,9.022
20,6,2,0.34600335594810355,0.1978814324341215,11.297554956757654,18.638829566089086,0.11138808746333795,0.07251431627247752,9.091
98,32,2,0.46729719456109314,0.5383062323227327,16.59548699917009,3.1740839717976166,0.014264690928323553,0.819305371203677,9.093
125,41,2,0.36430007001361486,0.26922936550831,15.007686531709924,15.333213002456027,0.17372826489681695,0.7052242650020967,9.107
58,19,1,0.3846336217352591,0.4599490713196519,9.329533227520296,9.265584850384913,0.17758969331308713,0.7279595712673068,9.165
42,14,0,0.48985139091828467,0.1354597311115475,11.139468882714631,15.155994182401564,0.09859113200889776,0.5239913341678151,9.211
43,14,1,0.48985139091828467,0.1354597311115475,11.139468882714631,15.155994182401564,0.09859113200889776,0.5239913341678151,9.211
57,19,0,0.3846336217352591,0.4599490713196519,9.329533227520296,9.265584850384913,0.17758969331308713,0.7279595712673068,9.225
146,48,2,0.44422272432984433,0.178587497438989,7.61436356569975,5.303053261857615,0.08336078168184796,0.3403476951266812,9.226
203,67,2,0.4546115874639294,0.24824871750480823,19.84341048930422,14.182485013777157,0.16884694180194457,0.917629450837617,9.237
243,81,0,0.48753962744584783,0.3891763401571514,12.296748060512298,4.5821116057306845,0.08058249566898242,0.7883627282505348,9.237
271,90,1,0.3104235083083812,0.16928704920165544,4.496422972001748,8.032035922914433,0.03785597465814467,0.27349302396536174,9.243
270,90,0,0.3104235083083812,0.16928704920165544,4.496422972001748,8.032035922914433,0.03785597465814467,0.27349302396536174,9.243
11,3,2,0.34118052641266594,0.785804434815872,17.786819251583093,4.43205587163223,0.16737451576966889,0.05620985041479547,9.268
298,99,1,0.3518218118085631,0.14365991928525118,1.518390095253243,11.78670297792752,0.004182935929028365,0.21816097615553687,9.269
297,99,0,0.3518218118085631,0.14365991928525118,1.518390095253243,11.78670297792752,0.004182935929028365,0.21816097615553687,9.269
204,68,0,0.4158630034120033,0.10776769340136194,3.609441978650985,12.56297343081628,0.04676748170913606,0.937984870259869,9.437
205,68,1,0.4158630034120033,0.10776769340136194,3.609441978650985,12.56297343081628,0.04676748170913606,0.937984870259869,9.437
272,90,2,0.3104235083083812,0.16928704920165544,4.496422972001748,8.032035922914433,0.03785597465814467,0.27349302396536174,9.443
50,16,2,0.3212893851717765,0.22362409996330285,3.793972669796373,10.982996804980193,0.03818416902167149,0.7310702823028555,9.453
288,96,0,0.44814483350875023,0.12270662928476866,7.134158705235622,13.885452447440311,0.030045716394233198,0.5795822072907397,9.469
289,96,1,0.44814483350875023,0.12270662928476866,7.134158705235622,13.885452447440311,0.030045716394233198,0.5795822072907397,9.469
299,99,2,0.3518218118085631,0.14365991928525118,1.518390095253243,11.78670297792752,0.004182935929028365,0.21816097615553687,9.473
