Date;Time;Temperature Output
May 30, 2023;6:52:02 PM;0,00
May 30, 2023;6:52:21 PM;0,00
May 30, 2023;6:52:26 PM;0,90
May 30, 2023;6:52:36 PM;1,23
May 30, 2023;6:52:41 PM;2,18
May 30, 2023;6:52:51 PM;3,07
May 30, 2023;6:52:56 PM;2,99
May 30, 2023;6:53:11 PM;3,07
May 30, 2023;6:53:16 PM;3,37
May 30, 2023;6:53:21 PM;3,40
May 30, 2023;6:53:26 PM;3,07
May 30, 2023;6:53:31 PM;3,41
May 30, 2023;6:53:36 PM;3,55
May 30, 2023;6:53:56 PM;4,17
May 30, 2023;6:54:06 PM;4,03
May 30, 2023;6:54:11 PM;4,42
May 30, 2023;6:54:21 PM;4,24
May 30, 2023;6:54:26 PM;4,44
May 30, 2023;6:54:36 PM;3,99
May 30, 2023;6:54:41 PM;4,39
May 30, 2023;6:54:46 PM;5,39
May 30, 2023;6:55:06 PM;4,94
May 30, 2023;6:55:16 PM;5,08
May 30, 2023;6:55:26 PM;5,39
May 30, 2023;6:55:56 PM;5,12
May 30, 2023;6:56:21 PM;5,50
May 30, 2023;6:56:26 PM;5,43
May 30, 2023;6:56:41 PM;5,92
May 30, 2023;6:56:46 PM;5,96
May 30, 2023;6:57:01 PM;6,00
May 30, 2023;6:57:07 PM;5,74
May 30, 2023;6:57:16 PM;6,24
May 30, 2023;6:57:21 PM;5,82
May 30, 2023;6:57:36 PM;6,33
May 30, 2023;6:57:41 PM;6,40
May 30, 2023;6:57:46 PM;6,33
May 30, 2023;6:57:56 PM;6,62
May 30, 2023;6:58:01 PM;5,44
May 30, 2023;6:58:06 PM;6,57
May 30, 2023;6:58:21 PM;6,04
May 30, 2023;6:58:36 PM;5,91
May 30, 2023;6:58:46 PM;6,36
May 30, 2023;6:58:51 PM;6,21
May 30, 2023;6:58:56 PM;5,33
May 30, 2023;6:59:11 PM;5,44
May 30, 2023;6:59:21 PM;5,55
May 30, 2023;6:59:26 PM;5,50
May 30, 2023;6:59:36 PM;6,35
May 30, 2023;6:59:41 PM;5,75
May 30, 2023;6:59:46 PM;5,65
May 30, 2023;6:59:51 PM;5,61
May 30, 2023;7:00:06 PM;5,64
May 30, 2023;7:00:11 PM;6,58
May 30, 2023;7:00:17 PM;6,05
May 30, 2023;7:00:27 PM;5,68
May 30, 2023;7:00:41 PM;5,55
May 30, 2023;7:00:47 PM;5,26
May 30, 2023;7:01:01 PM;5,22
May 30, 2023;7:01:16 PM;5,06
May 30, 2023;7:01:21 PM;5,44
